unique_id,Property Address,Floor,Suite,Size (SF),Rent/SF/Year,Associate 1,BROKER Email ID,Associate 2,Associate 3,Associate 4,Annual Rent,Monthly Rent,GCI On 3 Years
78,759 Grand St,-,566,18938,$88.00,Cutler Beckett,test1@okadaco.com,Jaime Lannister,Brenda Sparks,Lewis Hamilton,"$1,666,544","$138,879","$299,978"
79,340 Lexington Ave,-,1077,13539,$90.00,James Norrington,test1@okadaco.com,Jaime Lannister,Dr. Sturgis,Daniel Ricciardo,"$1,218,510","$101,543","$219,332"
80,3 E 17th St,-,540,17812,$97.00,Hector Barbossa,test1@okadaco.com,Cersei Lannister,Pastor Jeff,George Russell,"$1,727,764","$143,980","$310,998"
81,53 E 34th St,-,516,12989,$110.00,Joshamee Gibbs,test1@okadaco.com,Sansa Stark,George Cooper Sr.,Max Verstappen,"$1,428,790","$119,066","$257,182"
82,206 W 23rd St,-,588,10418,$93.00,Elizabeth Swann,test1@okadaco.com,Cersei Lannister,Sheldon Cooper,Charles Leclerc,"$968,874","$80,740","$174,397"
83,226 E 54th St,P5,502,11113,$106.00,Jack Sparrow,test1@okadaco.com,Jorah Mormont,George Cooper Sr.,Charles Leclerc,"$1,177,978","$98,165","$212,036"
84,315 Fifth Ave,P7,703B,16302,$102.00,Bootstrap Bill,test1@okadaco.com,Jaime Lannister,Pastor Jeff,Lando Norris,"$1,662,804","$138,567","$299,305"
85,315 Fifth Ave,P8,800,13415,$103.00,Hector Barbossa,test1@okadaco.com,Jorah Mormont,Missy Cooper,Oscar Piastri,"$1,381,745","$115,145","$248,714"
86,315 Fifth Ave,P9,906,13318,$85.00,Bootstrap Bill,test1@okadaco.com,The Hound,George Cooper Sr.,Sergio Perez,"$1,132,030","$94,336","$203,765"
87,315 Fifth Ave,P9,904,15860,$105.00,Davy Jones,test1@okadaco.com,Bran Stark,Mary Cooper,Oscar Piastri,"$1,665,300","$138,775","$299,754"
88,347 5th Ave,P7,700,14246,$110.00,Elizabeth Swann,test1@okadaco.com,Daenerys Targaryen,Brenda Sparks,Daniel Ricciardo,"$1,567,060","$130,588","$282,071"
89,347 5th Ave,P11,1108,19848,$103.00,Will Turner,test1@okadaco.com,Cersei Lannister,George Cooper Sr.,Fernando Alonso,"$2,044,344","$170,362","$367,982"
90,347 5th Ave,P13,1303,19274,$89.00,Bootstrap Bill,test1@okadaco.com,Arya Stark,Pastor Jeff,Lewis Hamilton,"$1,715,386","$142,949","$308,769"
91,347 5th Ave,P14,1407,17727,$90.00,Will Turner,test1@okadaco.com,Cersei Lannister,Meemaw,Lewis Hamilton,"$1,595,430","$132,953","$287,177"
92,224 W 30th St,P2,204,17423,$83.00,Tia Dalma,test1@okadaco.com,Tyrion Lannister,Brenda Sparks,Max Verstappen,"$1,446,109","$120,509","$260,300"
93,224 W 30th St,P3,308,15592,$92.00,Bootstrap Bill,test1@okadaco.com,Sansa Stark,Pastor Jeff,Daniel Ricciardo,"$1,434,464","$119,539","$258,204"
94,224 W 30th St,P5,501,10773,$96.00,Joshamee Gibbs,test1@okadaco.com,Sansa Stark,Dr. Linkletter,Lewis Hamilton,"$1,034,208","$86,184","$186,157"
95,224 W 30th St,P5,502,19199,$96.00,Elizabeth Swann,test1@okadaco.com,Cersei Lannister,Mary Cooper,Carlos Sainz,"$1,843,104","$153,592","$331,759"
96,224 W 30th St,P6,602,11365,$107.00,Tia Dalma,test1@okadaco.com,Daenerys Targaryen,Pastor Jeff,Lando Norris,"$1,216,055","$101,338","$218,890"
97,224 W 35th St,P2,204,11665,$104.00,Will Turner,test1@okadaco.com,Tyrion Lannister,Brenda Sparks,Lando Norris,"$1,213,160","$101,097","$218,369"
98,224 W 35th St,P7,710B,14598,$103.00,Bootstrap Bill,test1@okadaco.com,Jon Snow,Missy Cooper,Charles Leclerc,"$1,503,594","$125,300","$270,647"
99,224 W 35th St,E13,1300,13574,$102.00,Jack Sparrow,test1@okadaco.com,The Hound,Dr. Linkletter,Oscar Piastri,"$1,384,548","$115,379","$249,219"
