unique_id,Property Address,Floor,Suite,Size (SF),Rent/SF/Year,Associate 1,BROKER Email ID,Associate 2,Associate 3,Associate 4,Annual Rent,Monthly Rent,GCI On 3 Years
30,345 Seventh Avenue,E21,677,13569,$105.00,Davy Jones,test1@okadaco.com,Bran Stark,Mary Cooper,Carlos Sainz,"$1,424,745","$118,729","$256,454"
31,345 Seventh Avenue,E20,1136,18300,$95.00,Bootstrap Bill,test1@okadaco.com,Arya Stark,Meemaw,Carlos Sainz,"$1,738,500","$144,875","$312,930"
32,345 Seventh Avenue,E20,901,16948,$103.00,Elizabeth Swann,test1@okadaco.com,Jon Snow,George Cooper Sr.,Oscar Piastri,"$1,745,644","$145,470","$314,216"
33,345 Seventh Avenue,P18,1802,17575,$81.00,Tia Dalma,test1@okadaco.com,Daenerys Targaryen,Missy Cooper,Oscar Piastri,"$1,423,575","$118,631","$256,244"
34,345 Seventh Avenue,P16,1602,16469,$94.00,Jack Sparrow,test1@okadaco.com,Arya Stark,Georgie Cooper,Max Verstappen,"$1,548,086","$129,007","$278,655"
35,345 Seventh Avenue,P15,1500,17177,$106.00,Davy Jones,test1@okadaco.com,Jon Snow,Georgie Cooper,Sergio Perez,"$1,820,762","$151,730","$327,737"
36,345 Seventh Avenue,P14,1403,18591,$100.00,Tia Dalma,test1@okadaco.com,Cersei Lannister,Dr. Linkletter,Daniel Ricciardo,"$1,859,100","$154,925","$334,638"
37,345 Seventh Avenue,P14,1404,11997,$84.00,Davy Jones,test1@okadaco.com,Tyrion Lannister,Dr. Sturgis,Max Verstappen,"$1,007,748","$83,979","$181,395"
38,345 Seventh Avenue,P12,1202,11424,$90.00,Bootstrap Bill,test1@okadaco.com,Arya Stark,Brenda Sparks,Lando Norris,"$1,028,160","$85,680","$185,069"
39,345 Seventh Avenue,P10,1000,18004,$93.00,James Norrington,test1@okadaco.com,Jorah Mormont,Georgie Cooper,Daniel Ricciardo,"$1,674,372","$139,531","$301,387"
40,345 Seventh Avenue,P8,803,9572,$92.00,Bootstrap Bill,test1@okadaco.com,Daenerys Targaryen,Dr. Linkletter,Lewis Hamilton,"$880,624","$73,385","$158,512"
41,345 Seventh Avenue,P8,802,11778,$103.00,James Norrington,test1@okadaco.com,Sansa Stark,Brenda Sparks,Max Verstappen,"$1,213,134","$101,095","$218,364"
42,345 Seventh Avenue,P8,801,12121,$91.00,Joshamee Gibbs,test1@okadaco.com,Sansa Stark,George Cooper Sr.,Lando Norris,"$1,103,011","$91,918","$198,542"
43,345 Seventh Avenue,P6,551,11349,$98.00,Hector Barbossa,test1@okadaco.com,Cersei Lannister,Brenda Sparks,George Russell,"$1,112,202","$92,684","$200,196"
44,345 Seventh Avenue,P5,504,13049,$106.00,James Norrington,test1@okadaco.com,Jon Snow,Pastor Jeff,Lando Norris,"$1,383,194","$115,266","$248,975"
45,345 Seventh Avenue,P4,403,9835,$98.00,Jack Sparrow,test1@okadaco.com,Tyrion Lannister,Sheldon Cooper,Carlos Sainz,"$963,830","$80,319","$173,489"
46,345 Seventh Avenue,P4,402,15359,$108.00,Jack Sparrow,test1@okadaco.com,Daenerys Targaryen,Mary Cooper,Max Verstappen,"$1,658,772","$138,231","$298,579"
47,345 Seventh Avenue,P3,726,14249,$104.00,Will Turner,test1@okadaco.com,Sansa Stark,George Cooper Sr.,Sergio Perez,"$1,481,896","$123,491","$266,741"
48,345 Seventh Avenue,P GRND,B,17796,$103.00,Elizabeth Swann,test1@okadaco.com,The Hound,Missy Cooper,Fernando Alonso,"$1,832,988","$152,749","$329,938"
49,345 Seventh Avenue,PGRND,A,16371,$110.00,Davy Jones,test1@okadaco.com,Arya Stark,Sheldon Cooper,Fernando Alonso,"$1,800,810","$150,068","$324,146"
